"Date","Open","Close","Change(Rp)","Change(%)","Volume"
"2022-06-10","1,760","1,780","-20","1.11","19"
"2022-06-09","1,780","1,800","-20","1.09","18"
"2022-06-08","1,830","1,820","10","0.55","21"
"2022-06-07","1,830","1,810","20","1.11","35"
"2022-06-06","1,810","1,790","20","1.12","21"
"2022-06-03","1,740","1,770","-30","1.66","41"
"2022-05-31","1,790","1,800","-10","0.55","84"
"2022-05-30","1,820","1,810","10","0.55","21"
"2022-05-27","1,810","1,800","10","0.55","30"
"2022-05-25","1,820","1,790","30","1.70","25"
"2022-05-24","1,720","1,760","-40","2.22","48"
"2022-05-23","1,820","1,800","20","1.12","15"
"2022-05-20","1,770","1,780","-10","0.55","16"
"2022-05-19","1,740","1,790","-50","2.71","46"
"2022-05-18","1,790","1,840","-50","2.64","41"
"2022-05-17","1,870","1,890","-20","1.04","15"
"2022-05-13","1,920","1,910","10","0.52","28"
"2022-05-12","1,855","1,900","-45","2.31","38"
"2022-05-11","2,110","1,945","165","9.26","1,736"
"2022-05-10","1,790","1,780","10","0.56","26"
"2022-05-09","1,780","1,770","10","0.56","30"
"2022-04-27","1,720","1,760","-40","2.22","32"
"2022-04-26","1,810","1,800","10","0.55","30"
"2022-04-22","1,760","1,790","-30","1.64","29"
"2022-04-21","1,840","1,820","20","1.11","35"
"2022-04-20","1,810","1,800","10","0.55","40"
"2022-04-19","1,800","1,790","10","0.56","23"
"2022-04-18","1,770","1,780","-10","0.55","10"
"2022-04-14","1,770","1,790","-20","1.10","29"
"2022-04-13","1,800","1,810","-10","0.54","1"
"2022-04-12","1,810","1,820","-10","0.54","11"
"2022-04-11","1,800","1,830","-30","1.61","58"
"2022-04-08","1,780","1,820","-40","2.15","880"
"2022-04-07","1,900","1,860","40","2.19","887"
"2022-04-06","1,790","1,820","-30","1.62","535"
"2022-04-05","1,870","1,850","20","1.09","56"
"2022-04-04","1,800","1,830","-30","1.61","76"
"2022-04-01","1,870","1,860","10","0.54","41"
"2022-03-31","1,870","1,850","20","1.09","42"
"2022-03-28","1,860","1,830","30","1.66","319"
"2022-03-25","1,760","1,800","-40","2.17","46"
"2022-03-24","1,880","1,840","40","2.22","73"
"2022-03-23","1,760","1,800","-40","2.17","55"
"2022-03-22","1,800","1,840","-40","2.12","59"
