"Date","Open","Close","Change(Rp)","Change(%)","Volume"
"2022-02-21","1,530","1,520","10","0.66","431,766"
"2022-02-18","1,610","1,510","100","7.09","1,210,606"
"2022-02-17","1,405","1,410","-5","0.35","303,044"
"2022-02-16","1,525","1,415","110","8.42","794,649"
"2022-02-15","1,295","1,305","-10","0.76","153,814"
"2022-02-14","1,225","1,315","-90","6.40","610,445"
"2022-02-11","1,435","1,405","30","2.18","275,129"
"2022-02-10","1,310","1,375","-65","4.51","609,505"
"2022-02-09","1,495","1,440","55","3.97","521,218"
"2022-02-08","1,390","1,385","5","0.36","358,864"
"2022-02-07","1,450","1,380","70","5.34","536,973"
"2022-02-04","1,330","1,310","20","1.55","222,168"
"2022-02-03","1,240","1,290","-50","3.73","381,074"
"2022-02-02","1,405","1,340","65","5.09","457,424"
"2022-01-31","1,230","1,275","-45","3.40","440,280"
"2022-01-28","1,365","1,320","45","3.52","289,368"
"2022-01-27","1,290","1,275","15","1.19","378,101"
"2022-01-26","1,250","1,260","-10","0.78","227,461"
"2022-01-25","1,290","1,270","20","1.60","449,687"
"2022-01-24","1,175","1,250","-75","5.66","659,170"
"2022-01-21","1,330","1,325","5","0.37","662,883"
"2022-01-20","1,295","1,320","-25","1.85","568,841"
"2022-01-19","1,245","1,345","-100","6.92","909,446"
"2022-01-18","1,405","1,445","-40","2.69","1,006,791"
"2022-01-17","1,460","1,485","-25","1.65","299,099"
"2022-01-14","1,460","1,510","-50","3.20","231,048"
"2022-01-13","1,545","1,560","-15","0.95","287,609"
"2022-01-12","1,650","1,575","75","5.00","826,392"
"2022-01-11","1,475","1,500","-25","1.63","768,759"
"2022-01-10","1,650","1,525","125","8.92","1,784,115"
"2022-01-07","1,320","1,400","-80","5.40","1,495,761"
"2022-01-06","1,425","1,480","-55","3.58","1,424,529"
"2022-01-05","1,425","1,535","-110","6.68","1,469,041"
"2022-01-04","1,575","1,645","-70","4.08","1,085,736"
"2022-01-03","1,620","1,715","-95","5.24","638,173"
